t_us,vout_closed,vout_open,iout,vin
854.8387,50.0092,49.5329,5.7012,100.000
855.2138,50.0091,49.5332,5.7049,100.000
855.5889,50.0089,49.5336,4.8493,100.000
855.9640,50.0085,49.5342,3.9949,100.000
856.3391,50.0079,49.5352,4.5817,100.000
856.7142,50.0079,49.5355,5.4070,100.000
857.0893,50.0076,49.5363,5.9909,100.000
857.4644,50.0074,49.5369,5.1351,100.000
857.8395,50.0071,49.5377,4.2803,100.000
858.2146,50.0066,49.5395,4.3106,100.000
858.5896,50.0066,49.5396,5.1378,100.000
858.9647,50.0067,49.5394,5.9594,100.000
859.3398,50.0065,49.5409,5.4219,100.000
859.7149,50.0061,49.5421,4.5667,100.000
860.0900,50.0053,49.5449,4.0369,100.000
860.4651,50.0056,49.5453,4.8662,100.000
860.8402,50.0062,49.5454,5.6897,100.000
861.2153,50.0063,49.5465,5.7080,100.000
861.5904,50.0060,49.5470,4.8525,100.000
861.9655,50.0055,49.5474,3.9981,100.000
862.3406,50.0054,49.5486,4.5940,100.000
862.7157,50.0060,49.5490,5.4193,100.000
863.0908,50.0065,49.5498,5.9960,100.000
863.4659,50.0065,49.5501,5.1402,100.000
863.8410,50.0065,49.5506,4.2854,100.000
864.2161,50.0066,49.5512,4.3209,100.000
864.5911,50.0066,49.5511,5.1481,100.000
864.9662,50.0066,49.5507,5.9696,100.000
865.3413,50.0068,49.5509,5.4254,100.000
865.7164,50.0067,49.5508,4.5702,100.000
866.0915,50.0064,49.5509,4.0457,100.000
866.4666,50.0065,49.5510,4.8749,100.000
866.8417,50.0068,49.5512,5.6983,100.000
867.2168,50.0064,49.5517,5.6936,100.000
867.5919,50.0061,49.5521,4.8381,100.000
867.9670,50.0058,49.5529,3.9837,100.000
868.3421,50.0050,49.5539,4.5856,100.000
868.7172,50.0047,49.5540,5.4109,100.000
869.0923,50.0041,49.5547,5.9792,100.000
869.4674,50.0037,49.5550,5.1235,100.000
869.8425,50.0033,49.5551,4.2688,100.000
870.2176,50.0023,49.5559,4.3122,100.000
870.5926,50.0020,49.5565,5.1395,100.000
870.9677,50.0017,49.5572,5.9611,100.000
871.3428,50.0013,49.5583,5.4098,100.000
871.7179,50.0013,49.5590,4.5547,100.000
872.0930,50.0014,49.5609,4.0436,100.000
872.4681,50.0016,49.5612,4.8729,100.000
